"stusps","station_id","usaf","wban","station_name","icao","lat","lon","elev_m","statefp","countyfp","county_geoid","county_name","state_name","climate_region","geometry"
"AL","72036363872","720363","63872","WEEDON FIELD AIRPORT","KEUF",31.952,-85.131,86.8,"01","005","01005","Barbour","Alabama","Southeast",c(1020530.81419997, 1044856.76525468)
"AL","72323513896","723235","13896","NORTH WEST ALABAMA REGIONAL AIRPORT","KMSL",34.744,-87.6,165.8,"01","033","01033","Colbert","Alabama","Southeast",c(761882.635910229, 1331855.27491268)
"AL","99999963894","999999","63894","MUSCLE SHOALS 2 N","",34.773,-87.64,161.5,"01","033","01033","Colbert","Alabama","Southeast",c(757979.016567937, 1334766.67953622)
"AL","72223513838","722235","13838","MOBILE DOWNTOWN AIRPORT","KBFM",30.615,-88.063,4.9,"01","097","01097","Mobile","Alabama","Southeast",c(758403.827712607, 869356.949983361)
"AL","99999963857","999999","63857","GADSDEN 19 N","",34.285,-85.962,351.1,"01","049","01049","DeKalb","Alabama","Southeast",c(915353.710743011, 1295220.90125862)
"AL","99999963891","999999","63891","CLANTON 2 NE","",32.852,-86.612,178,"01","021","01021","Chilton","Alabama","Southeast",c(872066.124013689, 1129888.01352175)
"AL","A0001363847","A00013","63847","ISBELL FIELD AIRPORT","K4A9",34.474,-85.721,267.3,"01","049","01049","DeKalb","Alabama","Southeast",c(934964.228838637, 1318578.54355549)
"AL","72211163847","722111","63847","ISBELL FLD","K4A9",34.474,-85.721,267.3,"01","049","01049","DeKalb","Alabama","Southeast",c(934964.228838637, 1318578.54355549)
"AL","99999900440","999999","00440","CULLMAN REGIONAL AIRPORT FOLSOM FIELD","",34.269,-85.858,295.7,"01","049","01049","DeKalb","Alabama","Southeast",c(924992.039401948, 1294449.22635013)
"AL","99999963866","999999","63866","GUNTERSVILLE 2 SW","",34.334,-86.316,189,"01","095","01095","Marshall","Alabama","Southeast",c(882629.447833188, 1297320.92169919)
"AL","72227653820","722276","53820","MIDDLETON FIELD AIRPORT","KGZH",31.419,-87.048,79.1,"01","035","01035","Conecuh","Alabama","Southeast",c(846709.196897688, 966990.714935315)
"AL","99999963858","999999","63858","SELMA 13 WNW","",32.457,-87.242,58.8,"01","047","01047","Dallas","Alabama","Southeast",c(817770.786540153, 1080428.33663467)
"AL","99999963868","999999","63868","COURTLAND 2 WSW","",34.66,-87.346,175.3,"01","079","01079","Lawrence","Alabama","Southeast",c(785712.134348404, 1324565.77434104)
"AL","72077399999","720773","99999","COURTLAND AIRPORT","",34.659,-87.349,179.2,"01","079","01079","Lawrence","Alabama","Southeast",c(785450.679284999, 1324429.59294297)
"AL","72226703878","722267","03878","TROY MUNICIPAL AIRPORT","KTOI",31.857,-86.01,118.6,"01","109","01109","Pike","Alabama","Southeast",c(939426.369951009, 1025273.11420276)
"AL","99999923801","999999","23801","TROY 2 W","",31.79,-86,143.9,"01","109","01109","Pike","Alabama","Southeast",c(941147.085360578, 1017950.63436728)
"AL","A5125500445","A51255","00445","DEMOPOLIS MUNICIPAL AIRPORT","KDYA",32.464,-87.954,34.1,"01","091","01091","Marengo","Alabama","Southeast",c(751388.373642869, 1075327.64658792)
"AL","72223953861","722239","53861","LOWE ARMY HELIPORT (FORT RUCKER)","KLOR",31.356,-85.751,74.4,"01","045","01045","Dale","Alabama","Southeast",c(969692.643752178, 972410.073330704)
"AL","72203163839","722031","63839","FOLSOM FIELD AP","K3A1",34.269,-86.858,293.5,"01","043","01043","Cullman","Alabama","Southeast",c(834084.913717442, 1285194.07561265)
"AL","72226013895","722260","13895","MONTGOMERY RGNL (DANNELLY FD) AP","KMGM",32.3,-86.407,66.2,"01","101","01101","Montgomery","Alabama","Southeast",c(897248.710807807, 1070540.0839296)
"AL","72226513821","722265","13821","MAXWELL AFB AIRPORT","KMXF",32.383,-86.35,52.1,"01","101","01101","Montgomery","Alabama","Southeast",c(901623.744808456, 1080285.35019811)
"AL","72037663880","720376","63880","THE ALBERTVILLE MUNI ARPT-THOMAS J BRUMLIK FLD","K8A0",34.229,-86.256,314.6,"01","095","01095","Marshall","Alabama","Southeast",c(889280.404015092, 1286202.86242595)
"AL","99999973802","999999","73802","HIGHLAND HOME 2 S","",31.916,-86.312,187.2,"01","041","01041","Crenshaw","Alabama","Southeast",c(910458.436815015, 1028870.9543454)
"AL","72050500156","720505","00156","WALKER COUNTY AIRPORT BEVILL FIELD","KJFX",33.902,-87.314,147.2,"01","127","01127","Walker","Alabama","Southeast",c(796343.959790461, 1240442.98859299)
"AL","72050899999","720508","99999","MERKEL FLD SYLACAUGA MUNI","KSCD",33.172,-86.306,173.4,"01","121","01121","Talladega","Alabama","Southeast",c(896757.182408992, 1168269.24598899)
"AL","99999963897","999999","63897","SELMA 6 SSE","",32.335,-86.979,47.9,"01","047","01047","Dallas","Alabama","Southeast",c(843544.719710109, 1069184.29936636)
